1200
time(s) u(m/s) v(m/s) w(m/s)
0	-8.46	-0.166	-1.731
0.05	-8.89	-0.407	-1.651
0.1	-8.57	-0.384	-1.94
0.15	-8.4	-0.179	-1.849
0.2	-8.2	0.168	-2.232
0.25	-8.12	0.223	-2.213
0.3	-8.39	0.203	-2.113
0.35	-8.07	0.587	-2.012
0.4	-8.79	0.282	-1.572
0.45	-8.54	0.363	-1.702
0.5	-8.16	0.725	-1.908
0.55	-8.48	0.361	-1.916
0.6	-8.76	0.282	-1.803
0.65	-8.83	0.214	-1.734
0.7	-8.37	0.404	-1.83
0.75	-8.94	0.124	-1.572
0.8	-9.01	0.077	-1.522
0.85	-8.92	0.271	-1.513
0.9	-8.7	0.5	-1.707
0.95	-8.65	0.518	-1.65
1	-8.59	0.535	-1.816
1.05	-9	0.307	-1.701
1.1	-8.88	0.417	-1.755
1.15	-9.02	0.18	-1.827
1.2	-8.96	0.301	-1.817
1.25	-9.29	0.151	-1.731
1.3	-8.85	0.338	-1.92
1.35	-9.33	0.18	-1.909
1.4	-8.87	0.434	-2.166
1.45	-9.5	0.05	-1.963
1.5	-9.38	0.163	-1.987
1.55	-9.19	0.239	-2.08
1.6	-9.01	0.212	-2.106
1.65	-9.3	0.275	-1.992
1.7	-9.44	0.186	-1.82
1.75	-9.39	0.354	-1.843
1.8	-9.09	0.6	-1.965
1.85	-9.43	0.38	-2.024
1.9	-9.43	0.252	-1.947
1.95	-9.62	0.208	-1.927
2	-9.48	0.146	-1.869
2.05	-9.37	0.268	-1.965
2.1	-9.61	0.332	-1.838
2.15	-9.68	0.415	-1.921
2.2	-9.07	0.504	-2.065
2.25	-9.2	0.548	-2.009
2.3	-9.46	0.306	-2.013
2.35	-9.73	0.213	-2.108
2.4	-9.38	0.52	-2.218
2.45	-9.13	0.711	-2.288
2.5	-9.48	0.3	-2.336
2.55	-9.2	0.133	-2.265
2.6	-9.3	0.025	-2.327
2.65	-9.13	-0.09	-2.29
2.7	-9.04	0.174	-2.172
2.75	-9.06	0.198	-2.241
2.8	-9.32	0.059	-2.342
2.85	-9.54	-0.103	-2.232
2.9	-9.26	0.086	-2.248
2.95	-9.44	-0.105	-2.261
3	-9.11	0.191	-2.443
3.05	-9.46	-0.124	-2.275
3.1	-9.45	0.115	-2.216
3.15	-9.66	0.091	-2.157
3.2	-9.64	0.008	-2.237
3.25	-9.14	0.138	-2.333
3.3	-9.48	0.044	-2.404
3.35	-9.34	0.111	-2.41
3.4	-9.48	0.319	-2.358
3.45	-9.48	-0.12	-2.352
3.5	-9.76	0.17	-2.172
3.55	-9.26	0.499	-2.541
3.6	-9.6	0.417	-2.485
3.65	-9.29	0.546	-2.581
3.7	-9.5	0.782	-2.605
3.75	-9.27	1.052	-2.392
3.8	-9.06	1.093	-2.609
3.85	-9.6	0.878	-2.386
3.9	-9.58	0.898	-2.557
3.95	-9.03	1.207	-2.652
4	-9.35	1.234	-2.534
4.05	-9.58	1.312	-2.392
4.1	-9.62	1.625	-2.38
4.15	-9.42	1.646	-2.519
4.2	-9.48	1.295	-1.949
4.25	-9.21	1.673	-1.915
4.3	-9.53	1.683	-1.79
4.35	-9.23	1.997	-1.797
4.4	-9.38	1.814	-2.218
4.45	-9.19	1.619	-2.043
4.5	-9.35	1.398	-1.638
4.55	-9.77	1.406	-1.815
4.6	-9.24	0.458	-2.012
4.65	-9.05	0.389	-2.179
4.7	-9.57	0.79	-2.233
4.75	-9.03	1.012	-2.778
4.8	-9.05	0.782	-2.701
4.85	-9.07	0.685	-2.914
4.9	-9.29	0.64	-2.921
4.95	-9.14	0.528	-2.869
5	-9.33	0.507	-2.726
5.05	-9.39	0.226	-2.52
5.1	-8.73	0.59	-2.617
5.15	-9	0.343	-2.75
5.2	-9.03	0.246	-2.88
5.25	-9.22	0.186	-2.779
5.3	-9.04	0.1	-2.693
5.35	-8.92	0.218	-2.796
5.4	-9.17	0.267	-2.977
5.45	-8.77	0.4	-3.069
5.5	-9	0.295	-3.11
5.55	-8.79	0.207	-3.279
5.6	-8.99	0.093	-2.977
5.65	-9.88	0.199	-3.067
5.7	-9.35	0.175	-3.118
5.75	-9.83	0.789	-3.057
5.8	-9.6	0.577	-3.125
5.85	-9.42	1.176	-3.261
5.9	-9.72	0.621	-3.336
5.95	-9.32	0.597	-3.249
6	-8.93	1.089	-3.37
6.05	-9.74	0.937	-2.834
6.1	-9.68	1.004	-2.982
6.15	-9.74	1.005	-3.046
6.2	-10.27	1.139	-3.014
6.25	-9.32	0.705	-3.381
6.3	-9.81	1.021	-3.184
6.35	-10.23	0.462	-2.922
6.4	-10.2	0.29	-2.719
6.45	-9.95	0.761	-2.71
6.5	-9.9	0.706	-2.83
6.55	-9.91	1.046	-2.699
6.6	-9.43	0.531	-3.215
6.65	-10.32	0.052	-2.504
6.7	-10.71	-0.16	-2.165
6.75	-10.04	-0.187	-2.5
6.8	-9.95	-0.23	-2.625
6.85	-10.05	-0.299	-2.49
6.9	-9.8	-0.006	-2.541
6.95	-10.14	-0.324	-2.602
7	-9.91	-0.334	-3.283
7.05	-9.36	-0.219	-2.907
7.1	-9.52	-0.133	-2.858
7.15	-9.57	0.068	-2.765
7.2	-9.78	-0.156	-2.736
7.25	-9.79	-0.21	-2.733
7.3	-9.75	-0.093	-2.462
7.35	-10.32	-0.043	-2.415
7.4	-10.22	-0.363	-2.489
7.45	-9.49	-0.033	-2.761
7.5	-9.22	-0.042	-2.755
7.55	-9.68	-0.285	-2.308
7.6	-9.4	0.293	-2.495
7.65	-9.31	0.264	-2.679
7.7	-9.65	-0.007	-2.585
7.75	-9.32	0.154	-3.03
7.8	-9.36	0.046	-2.961
7.85	-9.36	0.145	-2.76
7.9	-8.7	-0.088	-3.365
7.95	-9.3	0.093	-3.48
8	-9.29	-0.746	-3.707
8.05	-9.66	-0.786	-3.28
8.1	-9.63	-0.918	-2.922
8.15	-9.69	-0.711	-3.035
8.2	-9.54	-0.143	-2.75
8.25	-9.42	-0.005	-2.824
8.3	-9.38	-0.433	-2.718
8.35	-8.98	0.061	-2.891
8.4	-9.38	0.159	-2.826
8.45	-9.21	-0.133	-2.907
8.5	-9.32	0.158	-2.828
8.55	-9.41	0.135	-3.046
8.6	-9.74	-0.243	-3.031
8.65	-9.63	-0.26	-3.357
8.7	-9.78	-0.646	-3.264
8.75	-9.9	-0.674	-3.315
8.8	-9.9	-0.536	-3.335
8.85	-9.21	-0.468	-3.619
8.9	-9.8	-0.524	-3.68
8.95	-9.73	-0.768	-3.666
9	-10.14	-0.673	-3.712
9.05	-10.52	-0.249	-3.736
9.1	-9.87	-0.775	-3.844
9.15	-9.94	-0.947	-3.54
9.2	-9.79	-0.769	-3.483
9.25	-9.98	-0.795	-3.331
9.3	-9.83	-0.913	-3.448
9.35	-9.57	-0.81	-3.167
9.4	-9.75	-0.743	-3.172
9.45	-9.24	-0.729	-3.098
9.5	-10.09	-0.648	-2.49
9.55	-10.1	-0.946	-3.033
9.6	-10.2	-1.078	-2.911
9.65	-10.24	-1.164	-3.318
9.7	-10.26	-0.939	-3.621
9.75	-9.97	-1.387	-3.524
9.8	-9.91	-1.184	-2.834
9.85	-9.55	-1.365	-2.633
9.9	-9.43	-1.615	-2.464
9.95	-9.53	-1.935	-2.443
10	-9.66	-1.472	-2.589
10.05	-9.57	-1.566	-2.5
10.1	-9.62	-1.259	-2.69
10.15	-9.33	-1.335	-2.928
10.2	-9.31	-1.652	-2.649
10.25	-9.25	-2.045	-2.786
10.3	-9.24	-1.862	-2.222
10.35	-9.22	-0.898	-2.539
10.4	-9.1	-1.018	-1.69
10.45	-8.76	-1.159	-2.179
10.5	-8.71	-1.036	-2.284
10.55	-8.66	-1.073	-2.231
10.6	-8.64	-1.186	-2.326
10.65	-8.79	-1.26	-2.124
10.7	-8.71	-1.166	-1.814
10.75	-8.3	-1.23	-1.764
10.8	-8.24	-1.073	-1.308
10.85	-8.04	-0.906	-0.885
10.9	-8.29	-0.488	-0.858
10.95	-8.23	-0.348	-1.241
11	-8.8	-0.93	-1.025
11.05	-8.58	-1.07	-0.404
11.1	-8.51	-0.306	-0.284
11.15	-8.68	-1.223	-1.095
11.2	-8.32	-1.205	-0.556
11.25	-8.37	-0.766	-1.325
11.3	-8.38	-1.279	-1.219
11.35	-8.58	-1.241	-1.355
11.4	-8.83	-1.27	-1.239
11.45	-8.88	-1.36	-1.301
11.5	-8.68	-1.306	-1.09
11.55	-8.97	-1.701	-1.01
11.6	-8.99	-1.801	-1.154
11.65	-9.17	-1.721	-1.106
11.7	-9.34	-1.471	-1.195
11.75	-9.16	-1.483	-1.427
11.8	-9.19	-1.487	-1.255
11.85	-9.1	-1.446	-1.344
11.9	-9.31	-1.379	-1.308
11.95	-9.22	-1.438	-1.184
12	-9.36	-1.897	-0.776
12.05	-9.69	-1.638	-0.875
12.1	-10.02	-1.368	-1.073
12.15	-10	-1.574	-1.137
12.2	-9.8	-1.737	-1.419
12.25	-9.78	-1.491	-1.43
12.3	-9.99	-1.135	-1.534
12.35	-9.8	-1.505	-2.009
12.4	-10.24	-1.649	-1.959
